7416292	0	1	122	275	244
7865512	0	1	2	172	2325
8438932	0	1	73	174	2404
9580372	0	6	585	45	59
12794232	4	2	332	213	100
13205612	0	2	2	137	2221
14689784	0	4	295	189	79
15073640	10	4	157	186	118
15842588	0	1	42	722	606
15867032	0	1	30	61	72
15919116	0	1	22	0	556
16443660	9	2	764	183	148
16509228	0	4	169	397	309
16796684	0	1	47	22	18
17052580	0	2	141	148	497
17191272	0	5	330	43	7212
17296100	1	8	385	11	31
17370412	0	1	13	90	757
17398460	0	1	78	14	10
17533960	0	6	257	6	1
17840500	0	1	2	15	19
18390128	0	1	74	7	3
18396400	0	2	2	7	32
18565896	0	2	406	1986	1200
19395352	0	4	108	782	1772
19430456	0	6	72	125	1848
19431480	0	5	293	228	117
20040024	0	2	5	33	20
20088864	0	2	50	92	20
20219292	0	1	53	133	1162
20383376	1	1	97	311	234
21722216	0	1	13	261	234
21789108	0	1	76	1994	1458
22220204	0	1	4	76	74
22690044	0	1	14	52	9
23392820	0	2	7	79	188
24282764	0	2	44	149	43
24829960	0	6	191	170	156
24993400	0	16	94	83170	195362
25000152	0	1	44	36	21
25951168	0	2	32	17	6
25957708	0	1	3	8	13
26341836	0	1	345	371	372
27277976	0	2	250	20	3
28418204	0	1	133	6048	8057
28596268	0	1	189	103	71
28875328	0	10	657	106	388
28910724	0	1	72	317	720
29490536	0	1	107	8	10
32223208	0	2	24	1	3
33127788	0	1	135	55	32
33568120	0	2	36	34	18
34823932	0	1	148	63	70
35560276	0	1	136	131	55
36239124	0	1	8	36	23
36990628	0	15	835	145	461
36999200	0	1	3	4278	4057
38269224	0	1	1	1	7
40677152	0	1	26	95	46
41177988	0	1	40	65	51
42057712	0	5	281	366	37
42416568	0	3	152	90	60
42528072	0	4	267	0	3
42542512	0	2	167	75	93
43485536	0	1	34	65	61
43983388	0	1	811	3	3
44070032	0	6	605	47	56
45243760	0	1	0	258	319
46979280	0	1	37	44	28
47025540	0	2	48	85	82
48022792	0	2	239	608	534
48522312	0	1	18	101	71
48665424	0	1	94	101	11
49479452	0	1	4	86	462
50901904	0	2	82	8	3
51166016	0	2	89	47	20
51940648	0	2	433	46	9
54382060	0	5	390	185	88
54665808	0	1	3	27	4
54985956	0	14	623	128	97
55141868	0	4	133	47	13
55682920	0	1	77	81	36
56416628	0	1	267	106	60
58698516	0	1	90	1	0
60743288	0	5	1059	17	6
61099852	0	3	271	35	24
62083408	0	2	152	271	382
63434520	0	1	3	312	729
64768740	0	1	93	93	80
64833664	0	1	30	66	38
65488504	0	3	66	45	20
65681744	0	1	221	242	593
66156976	0	1	34	185	242
66865340	0	1	27	24	4
67615908	0	2	219	766	235
68039572	0	52	3548	211	784
